name:,com.zjrcinfo.vi,init_cpu
 , ,7
 , ,5
 , ,6
 , ,6
 , ,6
 , ,5
 , ,6
 , ,7
 , ,8
 , ,7
 , ,6
 , ,6
 , ,6
 , ,9
 , ,6
 , ,6
 , ,6
 , ,6
 , ,6
 , ,6
 , ,8
 , ,8
 , ,7
 , ,13
 , ,16
 , ,16
 , ,12
 , ,14
 , ,7
 , ,7
 , ,6
 , ,5
 , ,5
 , ,5
 , ,14
 , ,13
 , ,13
 , ,16
 , ,14
 , ,13
 , ,8
 , ,7
 , ,10
 , ,7
 , ,10
 , ,6
 , ,5
 , ,6
 , ,5
 , ,6
 , ,6
 , ,6
 , ,12
 , ,14
 , ,16
 , ,15
 , ,7
 , ,13
 , ,15
 , ,14
 , ,14
 , ,14
 , ,15
 , ,16
 , ,14
 , ,5
 , ,8
 , ,12
 , ,15
 , ,6
 , ,6
 , ,5
 , ,5
 , ,5
 , ,6
 , ,5
 , ,6
 , ,6
 , ,6
 , ,5
 , ,5
 , ,5
 , ,5
 , ,9
 , ,10
 , ,6
 , ,6
 , ,6
 , ,5
 , ,5
 , ,5
 , ,6
 , ,5
 , ,5
 , ,5
 , ,6
 , ,6
 , ,6
 , ,6
 , ,5
 , ,5
 , ,6
 , ,6
 , ,6
 , ,5
 , ,5
 , ,6
 , ,6
 , ,5
 , ,6
 , ,6
 , ,5
 , ,5
 , ,6
 , ,5
 , ,6
 , ,5
 , ,6
 , ,6
 , ,6
 , ,6
 , ,5
 , ,6
 , ,6
 , ,6
 , ,36
 , ,58
 , ,47
 , ,31
 , ,41
 , ,41
 , ,41
 , ,18
 , ,6
 , ,5
 , ,5
 , ,5
 , ,5
 , ,5
 , ,6
 , ,6
 , ,5
 , ,38
 , ,44
 , ,50
 , ,37
 , ,5
 , ,6
 , ,6
 , ,5
 , ,5
 , ,10
 , ,5
 , ,8
 , ,5
 , ,5
 , ,5
 , ,5
 , ,6
 , ,5
 , ,5
 , ,6
 , ,6
 , ,5
 , ,11
 , ,11
 , ,14
 , ,15
 , ,13
 , ,20
 , ,13
 , ,15
 , ,14
 , ,15
 , ,13
 , ,10
 , ,14
 , ,14
 , ,12
 , ,12
 , ,12
 , ,6
 , ,5
 , ,5
 , ,6
 , ,5
 , ,5
 , ,6
 , ,7
 , ,5
 , ,9
 , ,9
 , ,10
 , ,11
 , ,14
 , ,13
 , ,12
 , ,28
 , ,58
 , ,58
 , ,41
 , ,27
 , ,7
 , ,9
 , ,15
 , ,7
 , ,7
 , ,7
 , ,9
 , ,8
 , ,14
 , ,15
 , ,9
 , ,14
 , ,15
 , ,15
 , ,12
 , ,15
 , ,16
 , ,10
 , ,13
 , ,15
 , ,14
 , ,16
 , ,15
 , ,12
 , ,14
 , ,15
 , ,14
 , ,12
 , ,16
 , ,16
 , ,37
 , ,37
 , ,51
 , ,53
 , ,53
 , ,41
 , ,31
 , ,9
 , ,14
 , ,15
 , ,11
 , ,8
 , ,15
 , ,14
 , ,14
 , ,15
 , ,11
 , ,7
 , ,13
 , ,12
 , ,11
 , ,8
 , ,15
 , ,16
 , ,11
 , ,16
 , ,8
 , ,5
 , ,5
 , ,6
 , ,5
 , ,5
 , ,6
 , ,6
 , ,5
 , ,5
 , ,6
 , ,6
 , ,6
 , ,5
 , ,5
 , ,7
 , ,27
 , ,36
 , ,41
 , ,42
 , ,39
 , ,5
 , ,6
 , ,6
 , ,5
